,AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population 18 to 24 years,,,,,Population 25 years and over,,,,,,,,,,,White alone,,,"White alone, not Hispanic or Latino",,,Black alone,,,American Indian or Alaska Native alone,,,Asian alone,,,Native Hawaiian and Other Pacific Islander alone,,,Some other race alone,,,Two or more races,,,Hispanic or Latino Origin,,
Label,,,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher,,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher,,High school graduate or higher,Bachelor's degree or higher
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,,(X),12.3%,34.7%,45.3%,7.6%,(X),3.9%,9.0%,30.9%,20.8%,9.0%,16.3%,10.0%,87.1%,26.3%,,(X),88.5%,28.5%,(X),89.1%,28.8%,(X),85.1%,19.2%,(X),78.9%,18.7%,(X),87.6%,55.9%,(X),N,N,(X),51.7%,10.8%,(X),86.2%,32.8%,(X),61.3%,16.4%
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,,(X),12.5%,40.1%,42.8%,4.6%,(X),2.2%,4.3%,28.7%,25.7%,9.0%,18.5%,11.7%,93.6%,30.2%,,(X),95.9%,35.7%,(X),96.5%,36.7%,(X),89.4%,22.3%,(X),83.5%,9.0%,(X),93.3%,28.6%,(X),N,N,(X),84.4%,17.3%,(X),96.2%,29.2%,(X),86.0%,19.9%
,,(X),±1.9,±3.9,±3.8,±1.5,(X),±0.4,±0.5,±1.2,±1.1,±0.6,±1.0,±0.8,±0.6,±1.1,,(X),±0.6,±1.6,(X),±0.5,±1.6,(X),±6.0,±6.5,(X),±2.2,±2.1,(X),±2.3,±4.8,(X),N,N,(X),±8.7,±8.8,(X),±1.9,±5.0,(X),±3.4,±3.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"38,590","5,646","15,718","16,502",724,"248,666","5,845","10,642","78,101","66,261","21,997","40,480","25,340","232,179","65,820",,"177,274","169,064","56,922","167,712","161,257","55,359","9,605","8,159","1,480","31,653","26,982","2,218","13,680","12,871","2,830",N,N,N,"3,022","2,710",468,"11,019","10,487","1,902","14,164","12,003","2,033"
,,"±1,671","±1,005","±2,052","±2,258",±452,"±2,132","±1,340","±1,671","±4,142","±3,671","±1,803","±2,971","±2,621","±2,388","±3,588",,"±1,594","±1,952","±3,393",±631,"±1,435","±3,248","±1,101","±1,205",±557,"±1,375","±1,339",±810,"±1,055","±1,150",±901,N,N,N,±864,±857,±354,"±1,466","±1,464",±624,"±1,007",±856,±596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(X),14.6%,40.7%,42.8%,1.9%,(X),2.4%,4.3%,31.4%,26.6%,8.8%,16.3%,10.2%,93.4%,26.5%,,(X),95.4%,32.1%,(X),96.2%,33.0%,(X),84.9%,15.4%,(X),85.2%,7.0%,(X),94.1%,20.7%,(X),N,N,(X),89.7%,15.5%,(X),95.2%,17.3%,(X),84.7%,14.4%
,,(X),±2.5,±5.2,±5.3,±1.2,(X),±0.5,±0.7,±1.6,±1.5,±0.7,±1.2,±1.0,±0.8,±1.4,,(X),±0.8,±1.9,(X),±0.8,±1.9,(X),±8.2,±5.9,(X),±2.0,±2.5,(X),±2.7,±6.1,(X),N,N,(X),±8.5,±11.3,(X),±3.1,±5.8,(X),±4.8,±4.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"29,148","2,801","11,455","12,495","2,397","235,392","4,579","10,024","61,055","58,000","21,397","49,103","31,234","220,789","80,337",,"158,829","153,416","63,136","149,206","144,670","60,894","6,227","6,001","2,047","34,575","28,349","3,733","17,238","15,984","6,005",N,N,N,"3,768","3,021",710,"11,394","11,079","4,643","14,201","12,398","3,608"
,,"±1,897",±699,"±1,785","±1,772",±784,"±1,897",±920,"±1,393","±3,500","±3,189","±2,066","±2,860","±2,173","±2,254","±3,345",,"±1,573","±1,689","±3,070",±817,"±1,330","±3,150",±814,±911,±785,"±1,510","±1,756",±943,"±1,202","±1,418","±1,122",N,N,N,"±1,289","±1,161",±469,"±1,735","±1,698","±1,075","±1,042","±1,101",±900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(X),9.6%,39.3%,42.9%,8.2%,(X),1.9%,4.3%,25.9%,24.6%,9.1%,20.9%,13.3%,93.8%,34.1%,,(X),96.6%,39.8%,(X),97.0%,40.8%,(X),96.4%,32.9%,(X),82.0%,10.8%,(X),92.7%,34.8%,(X),N,N,(X),80.2%,18.8%,(X),97.2%,40.7%,(X),87.3%,25.4%
,,(X),±2.4,±5.5,±5.0,±2.7,(X),±0.4,±0.6,±1.5,±1.3,±0.9,±1.2,±0.9,±0.7,±1.4,,(X),±0.7,±1.9,(X),±0.7,±2.1,(X),±6.0,±12.0,(X),±3.6,±2.7,(X),±3.3,±5.7,(X),N,N,(X),±12.3,±11.4,(X),±2.2,±7.2,(X),±3.8,±6.5
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"694,529","100,988","246,748","276,860","69,933","4,944,540","252,459","360,539","1,170,685","1,236,845","431,854","931,038","561,120","4,331,542","1,492,158",,"4,002,380","3,553,471","1,246,529","3,010,564","2,848,764","1,103,023","214,990","193,271","58,680","198,701","157,995","22,229","172,708","153,437","102,839","9,550","8,374",970,"223,940","156,950","25,139","122,271","108,044","35,772","1,292,262","918,531","179,441"
,,"±2,962","±6,031","±7,842","±8,423","±4,860","±3,175","±10,631","±12,647","±19,736","±20,405","±12,312","±13,830","±11,508","±16,204","±15,896",,"±11,105","±17,464","±16,082","±2,020","±8,069","±15,672","±3,702","±4,371","±4,388","±4,517","±4,932","±2,337","±3,778","±4,686","±3,753","±1,256","±1,389",±544,"±11,206","±8,686","±2,882","±6,229","±6,112","±3,527","±1,892","±13,823","±8,115"
Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,,(X),14.5%,35.5%,39.9%,10.1%,(X),5.1%,7.3%,23.7%,25.0%,8.7%,18.8%,11.3%,87.6%,30.2%,,(X),88.8%,31.1%,(X),94.6%,36.6%,(X),89.9%,27.3%,(X),79.5%,11.2%,(X),88.8%,59.5%,(X),87.7%,10.2%,(X),70.1%,11.2%,(X),88.4%,29.3%,(X),71.1%,13.9%
,,(X),±0.9,±1.1,±1.2,±0.7,(X),±0.2,±0.3,±0.4,±0.4,±0.2,±0.3,±0.2,±0.3,±0.3,,(X),±0.4,±0.4,(X),±0.3,±0.5,(X),±1.5,±2.0,(X),±1.5,±1.2,(X),±1.8,±1.9,(X),±6.3,±5.9,(X),±1.9,±1.3,(X),±1.9,±2.6,(X),±1.1,±0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"358,615","59,177","136,413","132,372","30,653","2,423,466","125,602","188,217","593,553","592,821","199,184","446,041","278,048","2,109,647","724,089",,"1,959,485","1,727,958","608,764","1,469,294","1,382,320","542,889","109,186","96,316","25,883","94,355","73,874","8,674","77,782","71,993","51,008","5,080","4,633",337,"113,285","78,541","12,264","64,293","56,332","17,159","642,550","453,918","82,893"
,,"±2,224","±4,521","±5,384","±5,328","±2,875","±2,869","±6,598","±8,914","±12,402","±13,595","±8,499","±10,352","±7,792","±11,069","±11,669",,"±6,705","±11,618","±11,299","±1,389","±5,758","±10,240","±2,859","±3,367","±2,888","±2,810","±3,037","±1,271","±2,261","±2,613","±2,589","±1,235","±1,166",±349,"±6,377","±5,761","±1,735","±3,812","±3,825","±2,223","±1,397","±8,541","±4,844"
