"","State","Population","Law Enforcement Count","Officers Count"
"1","ALABAMA",2595557,8828,6917
"2","ALASKA",466899,1252,821
"3","ARIZONA",5675984,12475,8963
"4","ARKANSAS",1878821,5307,4172
"5","CALIFORNIA",27403445,53539,38443
"6","COLORADO",4190648,10113,7614
"7","CONNECTICUT",2891545,7095,5981
"8","DELAWARE",263455,1011,841
"9","DISTRICT OF COLUMBIA",705749,4524,3809
"10","FLORIDA",8955710,25662,18944
"11","GEORGIA",3055911,9023,7323
"12","HAWAII",974902,2349,1864
"13","IDAHO",1070855,2025,1563
"14","ILLINOIS",8238394,25900,22967
"15","INDIANA",2726336,6695,5445
"16","IOWA",2047953,3697,3132
"17","KANSAS",2185182,4921,3942
"18","KENTUCKY",2169067,5104,4350
"19","LOUISIANA",1775093,6194,4968
"20","MAINE",848557,1950,1606
"21","MARYLAND",1293529,5163,4204
"22","MASSACHUSETTS",6307729,15924,13112
"23","MICHIGAN",6253208,12526,10483
"24","MINNESOTA",4060210,7216,6023
"25","MISSISSIPPI",674123,2165,1656
"26","MISSOURI",3747658,11203,8759
"27","MONTANA",483501,981,790
"28","NEBRASKA",1305887,2683,2184
"29","NEVADA",2111252,5410,3738
"30","NEW HAMPSHIRE",1290855,2924,2335
"31","NEW JERSEY",8592431,24986,20926
"32","NEW MEXICO",831662,2184,1442
"33","NEW YORK",13589604,65682,47700
"34","NORTH CAROLINA",5677573,14851,12275
"35","NORTH DAKOTA",516982,1048,884
"36","OHIO",3753683,9641,8148
"37","OKLAHOMA",2957179,7186,5677
"38","OREGON",2748912,4867,3605
"39","PENNSYLVANIA",9463952,20728,18635
"40","RHODE ISLAND",1052595,2646,2139
"41","SOUTH CAROLINA",1633381,5609,4548
"42","SOUTH DAKOTA",533403,1073,897
"43","TENNESSEE",3952927,11776,9661
"44","TEXAS",18387816,42954,33002
"45","UTAH",2460365,3728,2976
"46","VERMONT",350570,822,638
"47","VIRGINIA",3061914,8705,7089
"48","WASHINGTON",4888755,8960,6964
"49","WEST VIRGINIA",503543,1469,1292
