"","State","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Vehicle Theft","Arson"
"1","ALABAMA",85670,114,4,15,27,68,1922,128,1694,100,2
"2","ALASKA",457510,4933,46,807,761,3319,17886,2457,13332,2097,161
"3","ARIZONA",5315926,23984,251,2906,5695,15132,139357,21139,104091,14127,614
"4","ARKANSAS",1695479,12044,159,1530,1262,9093,61623,11591,45250,4782,232
"5","CALIFORNIA",32349628,140167,1303,12271,45873,80720,777229,121489,538123,117617,6949
"6","COLORADO",3609660,16244,156,2781,3006,10301,109904,13737,79904,16263,616
"7","CONNECTICUT",3076833,6265,95,686,1892,3592,48155,6010,36495,5650,199
"8","DELAWARE",265930,2030,31,93,493,1413,9806,1242,7861,703,12
"9","FLORIDA",10336811,45526,675,4256,10543,30052,284102,35715,224674,23713,625
"10","GEORGIA",1100809,4023,54,297,926,2746,31855,4420,25089,2346,89
"11","HAWAII",974902,2638,27,340,954,1317,29263,3864,21562,3837,272
"12","IDAHO",1059443,2689,14,575,133,1967,16613,2640,12902,1071,113
"13","ILLINOIS",9951511,46742,769,5030,11978,28965,202940,27572,158639,16729,1140
"14","INDIANA",1808266,6509,158,673,1611,4067,44663,5802,34749,4112,256
"15","IOWA",1675720,6256,39,822,787,4608,42523,8559,29945,4019,237
"16","KANSAS",1385267,7810,66,830,893,6021,42891,5986,32419,4486,222
"17","KENTUCKY",2414483,7916,170,937,1991,4818,69443,11076,50550,7817,163
"18","LOUISIANA",1388675,10108,198,598,1949,7363,62338,12229,46261,3848,278
"19","MAINE",849070,1141,13,360,161,607,13444,1568,11391,485,49
"20","MARYLAND",1214847,13951,381,525,5640,7405,42416,7620,29831,4965,184
"21","MASSACHUSETTS",6003634,17445,107,1851,2438,13049,63200,10232,48204,4764,289
"22","MICHIGAN",6542946,34457,483,4270,4909,24795,122743,21424,86169,15150,1440
"23","MINNESOTA",3889462,10963,100,1935,2788,6140,98874,12666,76617,9591,382
"24","MISSISSIPPI",574331,1509,65,207,406,831,20182,3408,15301,1473,62
"25","MISSOURI",2665736,20770,423,1862,3949,14536,99995,14638,71678,13679,604
"26","MONTANA",283465,1245,7,229,62,947,10356,991,8702,663,34
"27","NEBRASKA",452169,1011,9,307,76,619,8748,1116,6861,771,64
"28","NEVADA",2376046,11320,107,1777,2697,6739,59912,12999,37457,9456,163
"29","NEW HAMPSHIRE",1248132,1913,31,522,291,1069,14965,1542,12605,818,115
"30","NEW JERSEY",8638072,17666,253,1437,5611,10365,113573,15854,87621,10098,368
"31","NEW MEXICO",169156,983,19,134,95,735,5689,1013,4222,454,31
"32","NEW YORK",5055612,14378,181,1550,3585,9062,83939,11275,68062,4602,558
"33","NORTH CAROLINA",4629948,24361,376,1693,5740,16552,147574,25479,111470,10625,698
"34","NORTH DAKOTA",514806,1599,19,335,172,1073,12328,1979,9082,1267,64
"35","OHIO",5466800,17719,274,2790,4546,10109,122743,21422,92237,9084,793
"36","OKLAHOMA",2939196,14783,216,1866,2260,10441,96027,21514,63328,11185,557
"37","OREGON",2481471,8476,55,1198,1895,5328,82616,9656,61466,11494,628
"38","PENNSYLVANIA",2473246,7186,114,699,1363,5010,33695,4414,27305,1976,190
"39","RHODE ISLAND",1052595,2255,23,439,416,1377,15844,2279,12270,1295,83
"40","SOUTH CAROLINA",1610282,10030,177,887,1599,7367,64663,8711,50415,5537,175
"41","SOUTH DAKOTA",518243,2267,12,411,152,1692,12780,1827,9669,1284,47
"42","TENNESSEE",3949198,32821,424,2097,5818,24482,144745,21236,109634,13875,593
"43","TEXAS",19694362,97685,1118,10918,25146,60503,550847,84602,404780,61465,1931
"44","UTAH",2148950,5635,50,1315,906,3364,50367,6488,38925,4954,148
"45","VERMONT",349644,856,4,188,61,603,6941,748,6030,163,32
"46","VIRGINIA",3021976,9942,260,1113,2227,6342,74059,7514,60704,5841,310
"47","WASHINGTON",4513747,16326,127,2247,4259,9693,154413,23785,112853,17775,602
"48","WEST VIRGINIA",173712,565,10,83,76,396,3659,689,2691,279,27
"49","WISCONSIN",3919777,14640,156,1763,2832,9889,71167,9565,55120,6482,343
"50","WYOMING",350064,788,12,227,60,489,7154,993,5650,511,40
