"","State","18-24, Under High School Graduate","18-24, High School Graduate","18-24, Associate Degree","18-24, Bachelor's Degree","25+, Under 9th Grade ","25+, 9th to 12th Grade","25+, High School Graduate","25+, Some College (No Degree)","25+, Associate Degree","25+, Bachelor's Degree","25+, Graduate or professional degree","White","White alone, not Hispanic or Latino","Black or African American","American Indian or Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races","Hispanic or Latino Origin"
"1","ALABAMA",12.3,34.7,45.3,7.6,3.9,9,30.9,20.8,9,16.3,10,88.5,89.1,85.1,"78.9",87.6,"N","51.7",86.2,61.3
"2","ALASKA",12.5,40.1,42.8,4.6,2.2,4.3,28.7,25.7,9,18.5,11.7,95.9,96.5,89.4,"83.5",93.3,"N","84.4",96.2,86
"3","ARIZONA",14.5,35.5,39.9,10.1,5.1,7.3,23.7,25,8.7,18.8,11.3,88.8,94.6,89.9,"79.5",88.8,"87.7","70.1",88.4,71.1
"4","ARKANSAS",11.8,34.5,44.7,9,4.6,7.9,34.9,21.8,7.5,15.1,8.3,88.5,89.9,86.9,"83.3",90.6,"44.3","52.1",85.7,58.7
"5","CALIFORNIA",10,31.3,47.2,11.6,8.7,7.3,20.6,20.6,7.9,21.9,13.1,86.4,95.3,90.5,"78.4",88.5,"86.5","61.9",89.1,66.4
"6","COLORADO",12.4,31.8,42,13.7,3.2,4.4,21,20.3,8.4,26.6,16,93.4,96.8,92.4,"84.1",90,"60.5","73.4",91.5,75.2
"7","CONNECTICUT",10.3,29.9,43.2,16.5,4,5.3,26.8,16.5,7.6,22,17.8,92.9,94.6,86.3,"90.3",90.6,"N","69.2",83.7,73.9
"8","DELAWARE",11.2,32.6,46.3,10,3.5,6.2,30.2,18.6,8.3,19.5,13.7,90.8,93,90.6,"83.2",94.4,"N","59.4",90.7,62.3
"9","DISTRICT OF COLUMBIA",4.4,26.2,46.3,23.1,3.3,4.9,15.8,13,3.3,25.7,34,98.2,99.5,86.5,"N",95.4,"N","69.3",94.3,80.8
"10","FLORIDA",14.3,32.1,42.9,10.6,4.6,7,28.4,19.4,9.9,19.3,11.4,89.8,93.1,84.3,"81.3",87.2,"80.8","75",87.2,79.6
"11","GEORGIA",15,34.4,40.6,10,4.5,7.6,27.4,20,8,19.9,12.6,89.4,91.2,87.9,"67.3",86.8,"85","57.6",87.2,64.3
"12","HAWAII",7.4,43.2,41.2,8.2,3.6,4,27.4,20.7,10.6,22.1,11.6,96.9,97.3,98.4,"70",89.4,"89.1","86.8",95.3,91.2
"13","IDAHO",12,37.5,42.8,7.7,3,5.5,26.1,26,10.6,18.8,9.9,92.8,94.2,92.9,"82.3",86.5,"N","60.3",90.3,68.8
"14","ILLINOIS",11.7,29.5,44.1,14.7,4.5,5.7,25.9,20,8.2,21.7,14.1,91.9,94.6,86.5,"74",90.5,"93.4","68.1",90.6,71.3
"15","INDIANA",14.2,35.5,39.6,10.7,3.6,6.8,33.9,19.9,8.8,17.3,9.7,90.6,91.3,87.7,"81.2",84.6,"N","61.8",88.4,69.9
"16","IOWA",10.4,29.4,50.1,10.1,2.7,4.6,31,20.4,11.9,19.8,9.5,93.6,94.6,83,"82",79.8,"N","64.6",92.5,67.5
"17","KANSAS",11.5,31.3,46.5,10.7,3.3,4.9,26.3,22.4,9,21.6,12.4,93.2,95.1,87.4,"86.9",85.4,"N","61",91.1,68.4
"18","KENTUCKY",12.2,37,41.2,9.7,5.1,7.7,33.2,20.3,8.5,14.9,10.3,87.4,87.7,88.2,"76",86.1,"N","56.3",86.5,70.3
"19","LOUISIANA",15.8,35.1,40.6,8.5,4.4,9.6,33.9,20.6,6.4,16,8.9,88.2,88.9,82.1,"78.7",83.4,"N","68.8",87.2,73.6
