"","State","Unemployment","Under 10K","10 to 14","15 to 24","25 to 49","50 to 99","100 to 199","Over 200K","White","Black or African American","Hispanic or Latino Origin","Asian","American Indian and Alaska Native","Some other race","25+, Under 9th Grade","25+, High School Graduate","White HSD","Black or African American HSD","Hispanic or Latino HSD","Asian HSD","American Indian and Alaska Native HSD","Other Race HSD","Law Enforcement Count","Officers Count","Population","Total Crimes","Crime_Rate_100k","Crime_Category","Income_Category","Latitude","Longitude"
"1","Alabama",2.8,8.1,5.5,10.9,23.7,29,18.4,4.3,"67.8","26.9","4.5","1.3","0.5","1.5",3.9,30.9,88.5,85.1,61.3,87.6,"78.9","51.7",8828,6917,12703908,1831,14.4128877507614,"Very Low","Very Low",32.8067,-86.7911
"2","Alaska",3.6,4.1,3.2,6.6,17.6,31.5,27.6,9.3,NA,NA,NA,NA,NA,NA,2.2,28.7,95.9,89.4,86,93.3,"83.5","84.4",1252,821,1691673,27602,1631.63921159704,"High","Average",61.3707,-152.4044
"3","Arizona",3,5.9,3.5,8.2,22.3,32.1,21.5,6.6,"78.3","4.7","31.7","3.3","4.6","5",5.1,23.7,88.8,89.9,71.1,88.8,"79.5","70.1",12475,8963,16382609,235594,1438.0737524774,"High","Low",33.7298,-111.4312
"4","Arkansas",2.8,7.1,6,12.1,25.6,29.8,15.5,3.8,"76.7","15.5","7.7","1.5","0.6","2.5",4.6,34.9,88.5,86.9,58.7,90.6,"83.3","52.1",5307,4172,7158158,117237,1637.80961526694,"High","Very Low",34.9697,-92.3731
"5","California",3.2,4.6,3.7,6.6,16.7,27.8,26.8,13.7,"59.4","5.8","39.4","14.8","0.8","13.7",8.7,20.6,86.4,90.5,66.4,88.5,"78.4","61.9",53539,38443,85540445,1014785,1186.321862132,"High","High",36.1162,-119.6816
"6","Colorado",2.5,4.6,2.9,6.2,17.2,31.3,27.5,10.3,"83.7","4.2","21.8","3.3","1","3.6",3.2,21,93.4,92.4,75.2,90,"84.1","73.4",10113,7614,14096861,195870,1389.45826308424,"High","Average",39.0598,-105.3111
"7","Connecticut",3.5,5.3,3.6,7.2,16.7,27.4,26.6,13.2,"74.6","11.1","16.9","4.7","0.3","5.6",4,26.8,92.9,86.3,73.9,90.6,"90.3","69.2",7095,5981,12841284,92925,723.642589012127,"Average","High",41.5978,-72.7554
"8","Delaware",2.9,5.4,3.6,7.1,19.1,31.9,25.5,7.4,"67.7","22.5","9.6","3.8","0.4","2.4",3.5,30.2,90.8,90.6,62.3,94.4,"83.2","59.4",1011,841,2672229,30038,1124.08030898549,"High","Average",39.3185,-75.5071
"9","Florida",2.7,6,4,9,23.2,31.5,19.6,6.7,"74.5","16","26.4","2.8","0.3","3.4",4.6,28.4,89.8,84.3,79.6,87.2,"81.3","75",25662,18944,53673379,679072,1265.19330933124,"High","Very High",27.7663,-81.6868
"10","Georgia",3,6.2,4.3,8.8,21.3,31,21.1,7.3,"57.8","31.9","9.8","4.1","0.4","3",4.5,27.4,89.4,87.9,64.3,86.8,"67.3","57.6",9023,7323,28062035,59704,212.75720025294,"Low","Very High",33.0406,-83.6431
"11","Hawaii",2.4,5,2.6,5.9,15.1,30.3,30.2,10.9,"24.1","1.9","10.7","38.7","0.4","1.7",3.6,27.4,96.9,98.4,91.2,89.4,"70","86.8",2349,1864,3461243,25165,727.050946726364,"Average","Average",21.0943,-157.4983
"12","Idaho",2.1,4.2,3.7,9.1,22.8,34.9,20.2,5,"89.4","0.7","12.8","1.5","1.3","3.8",3,26.1,92.8,92.9,68.8,86.5,"82.3","60.3",2025,1563,4183243,57646,1378.02178835894,"High","Low",44.2405,-114.4788
"13","Illinois",3.1,5.9,3.7,8,19.4,29.3,24.7,9,"71.4","14.1","17.5","5.7","0.3","5.8",4.5,25.9,91.9,86.5,71.3,90.5,"74","68.1",25900,22967,38882995,8248,21.2123577414754,"Very Low","Average",40.3495,-88.9861
"14","Indiana",2.7,5.9,4,9.4,23.6,32.3,20.1,4.7,"82.8","9.6","7.2","2.5","0.3","2.2",3.6,33.9,90.6,87.7,69.9,84.6,"81.2","61.8",6695,5445,19198762,76675,399.374709681801,"Low","Very High",39.8494,-86.2583
"15","Iowa",2.5,5.1,4.1,8.4,22.6,33.6,21.3,5,"89.9","4.1","6.3","2.4","0.4","1",2.7,31,93.6,83,67.5,79.8,"82","64.6",3697,3132,7487786,87139,1163.74853661683,"High","Low",42.0115,-93.2105
"16","Kansas",2.5,5.1,4.3,8.3,22.2,32.9,21.2,5.9,"83.6","5.7","12.2","3","0.8","3",3.3,26.3,93.2,87.4,68.4,85.4,"86.9","61",4921,3942,6941598,52378,754.552482007745,"Average","Low",38.5266,-96.7265
"17","Kentucky",2.8,7.9,5.5,10.8,23.4,30.8,17.5,4.1,"86.7","8.1","3.8","1.6","0.2","0.9",5.1,33.2,87.4,88.2,70.3,86.1,"76","56.3",5104,4350,10961256,241668,2204.74733917354,"Very High","Very Low",37.6681,-84.6701
"18","Louisiana",3.2,10.1,5.7,11.3,21.8,27.9,18.2,5,"61.8","32.4","5.4","1.8","0.6","1.4",4.4,33.9,88.2,82.1,73.6,83.4,"78.7","68.8",6194,4968,11832246,146664,1239.52798141621,"High","Very Low",31.1695,-91.8678
"19","Maine",2.2,5.1,4.7,9.5,23.4,32.2,20.1,5.2,NA,NA,NA,NA,NA,NA,2.1,31.4,93.5,87.5,89.9,81.8,"94.1","85.8",1950,1606,4433896,38973,878.978667970561,"Average","Very High",44.6939,-69.3819
"20","Maryland",3,4.8,2.6,5.6,15.3,28.3,29.7,13.6,"54.5","30.3","10.6","6.4","0.3","5.1",4,24.6,92.9,90.5,67.2,89.3,"79.2","56.9",5163,4204,14872022,181677,1221.60255007692,"High","High",39.0639,-76.8021
"21","Massachusetts",2.7,5.1,3.9,6.5,14.9,26.1,28.9,14.6,"77","7.9","12.4","6.9","0.3","4.3",4.2,23.9,93.4,85.7,73.2,86.3,"73.1","71.8",15924,13112,20256366,101553,501.338690266556,"Average","High",42.2302,-71.5301
"22","Michigan",3.1,6.2,4.1,9,23,31.7,20.4,5.7,"78.2","13.7","5.3","3.3","0.6","1.1",2.7,29.1,92.3,87.9,75.6,89.8,"87.6","68.1",12526,10483,30114550,210905,700.342525456963,"Average","Very High",43.3266,-84.5361
"23","Minnesota",2.2,4.1,3.4,6.5,18.5,32.1,26.8,8.5,"82.1","6.6","5.6","5.1","1","1.9",2.7,24.4,95.6,82.1,75,81.5,"83.6","66.2",7216,6023,13124707,145820,1111.0343263282,"High","Average",45.6945,-93.9002
"24","Mississippi",3.7,9.3,6.6,12.5,24.9,28.6,14.9,3.2,NA,NA,NA,NA,NA,NA,4.6,30.2,88.3,80.8,67.8,84.1,"75.8","53.4",2165,1656,7648650,64967,849.391722722311,"Average","Very Low",32.7416,-89.6787
"25","Missouri",2.4,6.3,4.5,9.7,23.1,31.6,19.6,5.1,"81.8","11.5","4.3","2.1","0.4","1.2",2.9,31.1,91.3,87.8,77.8,89.3,"88.3","73.3",11203,8759,15478839,156375,1010.2501873687,"High","Very High",38.4561,-92.2884
"26","Montana",2.5,5.4,4.9,10.1,23.5,32.1,19.7,4.3,NA,NA,NA,NA,NA,NA,1.6,28.4,94.8,84.5,84.7,93.1,"87.5","78.2",981,790,2625361,30218,1151.00361436008,"High","Very High",46.9219,-110.4544
"27","Nebraska",2.3,4.8,3.9,8,22,33.9,22,5.4,"86.2","4.9","11.3","2.5","1","2.6",3.4,25.7,93.5,85.3,63.2,77.5,"83.4","60.7",2683,2184,4452267,61726,1386.39484110005,"High","Low",41.1254,-98.2681
"28","Nevada",3.2,6,3.9,7.9,21.1,32.6,22,6.4,"64.6","9.6","29.2","8.5","1.4","10.5",5.1,27.8,89.1,90.4,67,90.7,"75.8","62.8",5410,3738,7319857,145951,1993.90507218925,"High","Low",38.3135,-117.0554
"29","New Hampshire",2,3.9,3.1,6.5,17.8,31,27.9,9.8,"92.6","1.6","4","2.6","0.1","0.8",2,28.1,93.6,85.9,78.7,91.6,"N","86.1",2924,2335,4533883,43960,969.588319769169,"Average","Average",43.4525,-71.5639
"30","New Jersey",3.1,4.7,2.9,6.2,15.4,27.2,28.4,15.2,"67.1","13.6","20.9","9.6","0.2","6.4",4.7,26.9,92,88.8,75.4,92.9,"75.7","69.4",24986,20926,26477735,257734,973.398970871187,"Average","High",40.2989,-74.521
"31","New Mexico",3.1,8.3,5.4,11.4,22.8,30.2,17.4,4.5,"73.9","2.3","49.3","1.7","9.5","9",5.8,26.4,87.5,87,78,89.1,"81.8","74",2184,1442,4984283,59847,1200.7143254105,"High","Very Low",34.8405,-106.2485
"32","New York",2.8,6.7,4.4,7.7,17.4,27.1,24.6,12.1,"63.2","15.9","19.3","8.6","0.4","8.6",5.8,25.8,91.7,85,72.6,80.2,"76","68",65682,47700,67865102,218837,322.458809536601,"Low","High",42.1657,-74.9481
"33","North Carolina",2.8,6.2,4.6,9.6,23.5,30.7,19.3,6,"68.1","21.5","9.8","3","1.2","3.4",4.2,25.6,90.7,86.4,62.8,87.2,"77.4","53.6",14851,12275,27129789,199517,735.416703756893,"Average","Very High",35.6301,-79.8064
"34","North Dakota",1.8,5.4,4.5,7.8,20.8,31.8,23.3,6.5,NA,NA,NA,NA,NA,NA,2.6,26.7,94.2,93.2,84.1,80.9,"84.5","85.1",1048,884,1841442,32647,1772.9040610565,"High","Low",47.5289,-99.784
"35","Ohio",2.9,6.3,4.3,9.5,22.6,31.8,20.1,5.4,"80.9","12.6","4","2.3","0.2","1",2.7,32.6,91.8,86.8,76.1,86.8,"79.2","70.2",9641,8148,30890516,205987,666.829262418277,"Average","Very High",40.3888,-82.7649
"36","Oklahoma",2.6,6.9,4.8,10.1,24,31.3,18.2,4.7,"72.4","7.3","11.1","2.3","8","2.3",3.9,31.5,89.5,89.5,63.2,81.5,"86.4","55.4",7186,5677,10232905,100758,984.64707724737,"Average","Very High",35.5653,-96.9289
"37","Oregon",3.1,5.4,3.7,7.5,20.6,31.7,24.1,7.1,"83.5","1.8","13.4","4.6","1.2","3.6",3.3,23,92.6,90.4,68.9,88,"85.9","62.5",4867,3605,10693463,124126,1160.76522638176,"High","Low",44.572,-122.0709
"38","Pennsylvania",2.8,6,4.1,8.6,21.1,30.9,22.2,7.3,"79.6","11.4","7.8","3.5","0.2","2.6",3,34.4,92.5,87.9,72.9,84.8,"77.5","63.1",20728,18635,37214184,91934,247.040214559051,"Low","Very High",40.5908,-77.2098
"39","Rhode Island",2.7,5.6,4.5,7.7,18.3,30.7,25.7,7.4,"78.7","7.4","16.3","3.5","0.3","5.9",5,28.4,90.8,91.1,70.9,87.6,"N","66.2",2646,2139,2967926,25403,855.917566677875,"Average","Average",41.6809,-71.5118
"40","South Carolina",2.8,7.2,4.3,9.6,23.4,30.8,19.2,5.4,"66.7","26.5","5.8","1.7","0.4","2.2",3.7,28.5,90.9,83.9,65.8,87.9,"77.3","53.4",5609,4548,14232125,136075,956.111613690858,"Average","Very High",33.8569,-80.945
"41","South Dakota",2,4.7,4.3,9.1,22.7,34,20.6,4.5,NA,NA,NA,NA,NA,NA,2.8,30,93.9,77.1,80.8,81.1,"80","71.1",1073,897,2193925,44252,2017.02428296318,"Very High","Low",44.2998,-99.4388
"42","Tennessee",2.8,6.2,5,9.7,24,31.1,18.7,5.4,"77.2","16.7","5.7","1.8","0.3","1.6",4.3,31.5,88.7,87.2,63.1,85.9,"78","56.8",11776,9661,16788853,321922,1917.47464820855,"High","Very High",35.7478,-86.6923
"43","Texas",2.8,5.9,3.7,8.5,20.8,30.6,22.6,7.9,"73.4","12.3","39.7","5","0.5","5.9",7.7,25.2,84.8,91.2,68.3,89.4,"84.3","62",42954,33002,77298159,624840,808.350429147996,"Average","Very High",31.0545,-97.5635
"44","Utah",2.2,3.6,2.8,6,17.7,35.3,27.4,7.3,"87.3","1.2","14.4","2.4","1.1","3.8",2.4,23.1,94.5,86.3,74.8,90.3,"81.9","65.9",3728,2976,6704799,91685,1367.45337183113,"High","Average",40.15,-111.8624
"45","Vermont",2.2,5.2,4.4,7.8,21.5,32.7,22.4,6,NA,NA,NA,NA,NA,NA,2.1,29,93.8,82.9,88.6,83.1,"71.9","N",822,638,2299855,15719,683.477871431025,"Average","Low",44.0459,-72.7107
"46","Virginia",2.6,4.8,3.2,7,17.9,29.3,26,11.9,"67","19.4","9.7","6.6","0.3","2.9",3.8,23.6,91.9,86.2,73.3,90.6,"82.8","65.4",8705,7089,18398629,261659,1422.16574941535,"High","Average",37.7693,-78.17
"47","Washington",2.9,4.4,3,6.5,17.1,30.2,27.4,11.4,"74.2","4","13","9","1.4","4.8",3.5,22.1,93.7,90.6,69.3,88.6,"82.3","61.5",8960,6964,18038291,169836,941.530436558541,"Average","Average",47.4009,-121.4905
"48","West Virginia",3.2,8.5,5.9,11.4,25.3,29.8,15.7,3.4,NA,NA,NA,NA,NA,NA,4.2,40.2,86.9,92.1,86.5,88.2,"84.4","83.3",1469,1292,4870428,16932,347.649118311573,"Low","Very Low",38.4912,-80.9545
